Assembly_accession	Superkingdom	Species_taxid	Genome_size	Genome_sizeM
GCF_002008675.1	Viral	1958786	8907	0.008494377
GCF_002219725.1	Viral	2016467	8907	0.008494377
GCF_000928055.1	Viral	1574287	8912	0.008499146
GCF_001933705.1	Viral	1922610	8921	0.008507729
GCF_001957495.1	Viral	1923144	8926	0.008512497
GCF_001962735.1	Viral	1922798	8929	0.008515358
GCF_000867245.1	Viral	216614	8930	0.008516312
GCF_000871925.1	Viral	404404	8930	0.008516312
GCF_001960215.1	Viral	1923448	8930	0.008516312
GCF_001960915.1	Viral	1923408	8931	0.008517265
GCF_001723025.1	Viral	1849539	8933	0.008519173
GCF_001934745.1	Viral	1922621	8933	0.008519173
GCF_000854985.1	Viral	12166	8937	0.008522987
GCF_001960675.1	Viral	1923485	8937	0.008522987
GCF_001934525.1	Viral	1922600	8942	0.008527756
GCF_001755525.1	Viral	1608085	8944	0.008529663
GCF_001961175.1	Viral	1923374	8944	0.008529663
GCF_000864745.1	Viral	12305	8947	0.008532524
GCF_001926355.1	Viral	1923451	8947	0.008532524
GCF_000852305.1	Viral	129141	8948	0.008533478
GCF_000914275.1	Viral	2038729	8951	0.008536339
GCF_001934685.1	Viral	1922636	8952	0.008537292
GCF_001958795.1	Viral	1923617	8954	0.0085392
GCF_000881975.1	Viral	39681	8962	0.008546829
GCF_000860125.1	Viral	196400	8962	0.008546829
GCF_001964395.1	Viral	1922797	8962	0.008546829
GCF_000850545.1	Viral	56486	8963	0.008547783
GCF_000912595.1	Viral	1386090	8965	0.00854969
GCF_000850805.1	Viral	151043	8967	0.008551598
GCF_001934565.1	Viral	1922646	8976	0.008560181
GCF_001924615.1	Viral	1922782	8977	0.008561134
GCF_000894515.1	Viral	2747323	8978	0.008562088
GCF_000837165.1	Viral	2011076	8981	0.008564949
GCF_000881795.1	Viral	339420	8983	0.008566856
GCF_001443785.1	Viral	1497848	8983	0.008566856
GCF_001935345.1	Viral	1922588	8986	0.008569717
GCF_001962555.1	Viral	1922766	8986	0.008569717
GCF_000870745.1	Viral	37127	8987	0.008570671
GCF_000865505.1	Viral	12317	8989	0.008572578
GCF_000880895.1	Viral	263892	8990	0.008573532
GCF_000851925.1	Viral	11856	8995	0.0085783
GCF_000882595.1	Viral	318279	8997	0.008580208
GCF_000908335.1	Viral	1330068	8998	0.008581161
GCF_002105405.1	Viral	1803898	9004	0.008586884
GCF_001934285.1	Viral	1922624	9005	0.008587837
GCF_004117415.1	Viral	2116599	9007	0.008589745
GCF_000846425.1	Viral	11757	9008	0.008590698
GCF_001698295.1	Viral	1897087	9008	0.008590698
GCF_001934005.1	Viral	1922559	9008	0.008590698
GCF_003032645.1	Viral	2136037	9008	0.008590698
GCF_001959395.1	Viral	1923420	9013	0.008595467
GCF_003032655.1	Viral	2136038	9017	0.008599281
GCF_000851985.1	Viral	37126	9018	0.008600235
GCF_001967455.1	Viral	1923142	9020	0.008602142
GCF_000847625.1	Viral	89463	9024	0.008605957
GCF_000850765.1	Viral	31770	9026	0.008607864
GCF_001959735.1	Viral	1923609	9027	0.008608818
GCF_001968335.1	Viral	1923627	9029	0.008610725
GCF_001958215.1	Viral	1923562	9031	0.008612633
GCF_000858325.1	Viral	312185	9032	0.008613586
GCF_004132185.1	Viral	2094259	9032	0.008613586
GCF_003033825.1	Viral	1637492	9033	0.00861454
GCF_000855245.1	Viral	64958	9036	0.008617401
GCF_001966975.1	Viral	1923131	9037	0.008618355
GCF_001968135.1	Viral	1923168	9042	0.008623123
GCF_004134045.1	Viral	2268125	9043	0.008624077
GCF_001961975.1	Viral	1923357	9047	0.008627892
GCF_000891675.1	Viral	995049	9048	0.008628845
GCF_001962495.1	Viral	1922785	9054	0.008634567
GCF_000870605.1	Viral	12165	9055	0.008635521
GCF_000898495.1	Viral	1307958	9058	0.008638382
GCF_000851405.1	Viral	64698	9061	0.008641243
GCF_001968255.1	Viral	1923644	9061	0.008641243
GCF_001934505.1	Viral	1922606	9065	0.008645058
GCF_002374975.1	Viral	1930509	9065	0.008645058
GCF_001966435.1	Viral	1923119	9066	0.008646011
GCF_004131005.1	Viral	2560366	9066	0.008646011
GCF_000972615.1	Viral	1633878	9075	0.008654594
GCF_001019875.1	Viral	1654355	9079	0.008658409
GCF_001921455.1	Viral	1922434	9079	0.008658409
GCF_001959815.1	Viral	1923593	9083	0.008662224
GCF_001965615.1	Viral	1923121	9088	0.008666992
GCF_000923275.1	Viral	2560308	9088	0.008666992
GCF_001968515.1	Viral	1923145	9089	0.008667946
GCF_000897675.1	Viral	359987	9090	0.0086689
GCF_001431875.1	Viral	1663127	9091	0.008669853
GCF_000904775.1	Viral	1281454	9092	0.008670807
GCF_001935825.1	Viral	1922564	9093	0.008671761
GCF_001964735.1	Viral	1923092	9093	0.008671761
GCF_003029105.1	Viral	1702121	9097	0.008675575
GCF_002004695.1	Viral	1923781	9099	0.008677483
GCF_004788815.1	Viral	2560355	9099	0.008677483
GCF_004132565.1	Viral	2116736	9101	0.00867939
GCF_001960815.1	Viral	1923447	9105	0.008683205
GCF_001589995.2	Viral	1548722	9106	0.008684158
GCF_000847565.3	Viral	1714619	9109	0.008687019
GCF_002374355.1	Viral	1881950	9109	0.008687019
GCF_000850785.1	Viral	42680	9110	0.008687973
GCF_001958555.1	Viral	1923449	9111	0.008688927
GCF_001430055.5	Viral	1548713	9114	0.008691788
GCF_000921835.1	Viral	1548720	9115	0.008692741
GCF_001959075.1	Viral	1923532	9115	0.008692741
GCF_002821085.1	Viral	2008773	9115	0.008692741
GCF_001933725.1	Viral	1922561	9117	0.008694649
GCF_001965415.1	Viral	1922901	9117	0.008694649
GCF_002821005.1	Viral	2008768	9125	0.008702278
GCF_003033815.1	Viral	1849838	9126	0.008703232
GCF_000873485.1	Viral	2560535	9127	0.008704185
GCF_001964495.1	Viral	1922870	9129	0.008706093
GCF_000883215.1	Viral	1977298	9129	0.008706093
GCF_001934485.1	Viral	1922533	9132	0.008708954
GCF_001967435.1	Viral	1923146	9133	0.008709908
GCF_000918175.1	Viral	1511805	9136	0.008712769
GCF_002375095.1	Viral	2008771	9139	0.00871563
GCF_001958835.1	Viral	1923607	9140	0.008716583
GCF_000881775.1	Viral	481147	9144	0.008720398
GCF_001933525.1	Viral	1922661	9149	0.008725166
GCF_001935865.1	Viral	1922673	9159	0.008734703
GCF_002008695.1	Viral	1958784	9161	0.00873661
GCF_001744155.1	Viral	1902501	9163	0.008738518
GCF_001935425.1	Viral	1922678	9165	0.008740425
GCF_001935145.1	Viral	1922576	9166	0.008741379
GCF_001934785.1	Viral	1922611	9166	0.008741379
GCF_001957835.1	Viral	1923636	9166	0.008741379
GCF_001717315.1	Viral	1888309	9168	0.008743286
GCF_000847505.1	Viral	194441	9170	0.008745193
GCF_001646035.1	Viral	1769780	9173	0.008748055
GCF_001960355.1	Viral	1923604	9175	0.008749962
GCF_004128835.1	Viral	1224515	9176	0.008750916
GCF_000929135.1	Viral	1568973	9176	0.008750916
GCF_001960455.1	Viral	1923564	9176	0.008750916
GCF_001961055.1	Viral	1923372	9180	0.00875473
GCF_000919155.1	Viral	2169685	9180	0.00875473
GCF_001967495.1	Viral	1923133	9181	0.008755684
GCF_003956545.1	Viral	2094187	9184	0.008758545
GCF_001966495.1	Viral	1923106	9188	0.00876236
GCF_001957475.1	Viral	1923148	9190	0.008764267
GCF_000853065.1	Viral	12315	9196	0.008769989
GCF_001960855.1	Viral	1923439	9198	0.008771896
GCF_001935745.1	Viral	1922591	9200	0.008773804
GCF_001974175.1	Viral	1931370	9200	0.008773804
GCF_000884835.1	Viral	137758	9202	0.008775711
GCF_001964415.1	Viral	1922793	9204	0.008777618
GCF_000870245.1	Viral	1977297	9206	0.008779526
GCF_001967015.1	Viral	1923122	9212	0.008785248
GCF_000874325.1	Viral	471498	9215	0.008788109
GCF_004134745.1	Viral	2315809	9216	0.008789063
GCF_000929615.1	Viral	2008766	9218	0.00879097
GCF_001924895.1	Viral	1922587	9223	0.008795738
GCF_001966855.1	Viral	1923090	9223	0.008795738
GCF_004133545.1	Viral	2303411	9227	0.008799553
GCF_001958235.1	Viral	1923557	9231	0.008803368
GCF_004786975.1	Viral	2560738	9231	0.008803368
GCF_001924435.1	Viral	1922578	9234	0.008806229
GCF_001958135.1	Viral	1923598	9235	0.008807182
GCF_000916075.1	Viral	1457165	9236	0.008808136
GCF_000861125.1	Viral	194440	9239	0.008810997
GCF_000871325.1	Viral	475777	9253	0.008824348
GCF_000865185.1	Viral	674971	9257	0.008828163
GCF_001961195.1	Viral	1923370	9257	0.008828163
GCF_001866225.1	Viral	1911443	9266	0.008836746
GCF_000853005.1	Viral	103442	9270	0.008840561
GCF_001968275.1	Viral	1923640	9273	0.008843422
GCF_000888855.1	Viral	946046	9287	0.008856773
GCF_001968535.1	Viral	1923141	9287	0.008856773
GCF_001957415.1	Viral	1923161	9289	0.008858681
GCF_001960555.1	Viral	1923537	9292	0.008861542
GCF_000906415.1	Viral	1330070	9300	0.008869171
GCF_001967575.1	Viral	1923246	9302	0.008871078
GCF_001960395.1	Viral	1923596	9307	0.008875847
GCF_000847845.1	Viral	194443	9308	0.008876801
GCF_002817615.1	Viral	255255	9314	0.008882523
GCF_003028975.1	Viral	2170005	9315	0.008883476
GCF_000885415.1	Viral	687917	9319	0.008887291
GCF_000854905.1	Viral	263004	9321	0.008889198
GCF_001966795.1	Viral	1922925	9321	0.008889198
GCF_001020055.1	Viral	1654356	9325	0.008893013
GCF_001960835.1	Viral	1923443	9327	0.00889492
GCF_001963515.1	Viral	1922758	9330	0.008897781
GCF_001925595.1	Viral	1922435	9332	0.008899689
GCF_001745475.1	Viral	1902502	9336	0.008903503
GCF_001934925.1	Viral	1922547	9336	0.008903503
GCF_001974315.1	Viral	1923698	9336	0.008903503
GCF_001959555.1	Viral	1923371	9337	0.008904457
GCF_000926275.1	Viral	1541211	9344	0.008911133
GCF_001549565.1	Viral	1776109	9345	0.008912086
GCF_002627285.1	Viral	2734591	9345	0.008912086
GCF_001923695.1	Viral	1922900	9346	0.00891304
GCF_002008475.1	Viral	1922604	9348	0.008914948
GCF_000897075.1	Viral	1181310	9350	0.008916855
GCF_002820785.1	Viral	2008762	9354	0.00892067
GCF_001924875.1	Viral	1922620	9358	0.008924484
GCF_002890055.1	Viral	2065211	9359	0.008925438
GCF_001958595.1	Viral	1923441	9361	0.008927345
GCF_001935005.1	Viral	1922607	9365	0.00893116
GCF_001722825.1	Viral	1849542	9369	0.008934975
GCF_000855565.1	Viral	245101	9375	0.008940697
GCF_001966235.1	Viral	1923095	9379	0.008944511
GCF_000916735.1	Viral	1432857	9380	0.008945465
GCF_000926435.1	Viral	1560351	9381	0.008946419
GCF_003673705.1	Viral	2507311	9382	0.008947372
GCF_001961815.1	Viral	1922765	9383	0.008948326
GCF_002829785.1	Viral	12804	9391	0.008955956
GCF_001923995.1	Viral	1922557	9391	0.008955956
GCF_001963595.1	Viral	1923324	9392	0.008956909
GCF_001935585.1	Viral	1922675	9393	0.008957863
GCF_001957515.1	Viral	1923140	9394	0.008958817
GCF_000864765.1	Viral	11676	9396	0.008960724
GCF_002210615.1	Viral	1983569	9401	0.008965492
GCF_002210575.1	Viral	2010275	9404	0.008968353
GCF_002024795.1	Viral	1955197	9405	0.008969307
GCF_002821065.1	Viral	2008772	9407	0.008971214
GCF_000857525.1	Viral	11660	9410	0.008974075
GCF_001925415.1	Viral	1922360	9411	0.008975029
GCF_001960795.1	Viral	1923452	9411	0.008975029
GCF_000875545.1	Viral	549205	9415	0.008978844
GCF_004790535.1	Viral	2560390	9416	0.008979797
GCF_001966415.1	Viral	1923123	9418	0.008981705
GCF_001959415.1	Viral	1923407	9418	0.008981705
GCF_000849025.1	Viral	2169971	9418	0.008981705
GCF_001957595.1	Viral	1923254	9420	0.008983612
GCF_002024775.1	Viral	1170422	9425	0.00898838
GCF_001958155.1	Viral	1923594	9426	0.008989334
GCF_001866325.1	Viral	1911439	9427	0.008990288
GCF_001967855.1	Viral	1923099	9427	0.008990288
GCF_001654105.1	Viral	1648484	9430	0.008993149
GCF_001935065.1	Viral	1922527	9430	0.008993149
GCF_004132805.1	Viral	2099352	9433	0.00899601
GCF_001935105.1	Viral	1922590	9435	0.008997917
GCF_001967055.1	Viral	1923114	9437	0.008999825
GCF_001965115.1	Viral	1922794	9438	0.009000778
GCF_001967935.1	Viral	1923147	9438	0.009000778
GCF_001959995.1	Viral	1923529	9438	0.009000778
GCF_004134665.1	Viral	2419804	9440	0.009002686
GCF_002820985.1	Viral	2008765	9441	0.009003639
GCF_000874145.1	Viral	2560534	9442	0.009004593
GCF_001706865.1	Viral	1884450	9446	0.009008408
GCF_001974015.1	Viral	1516075	9448	0.009010315
GCF_000853145.1	Viral	12136	9449	0.009011269
GCF_001935765.1	Viral	1922586	9450	0.009012222
GCF_001959615.1	Viral	1923637	9451	0.009013176
GCF_001882015.3	Viral	1325446	9454	0.009016037
GCF_001957795.1	Viral	1923646	9455	0.009016991
GCF_000849165.1	Viral	11663	9458	0.009019852
GCF_001935405.1	Viral	1922566	9459	0.009020805
GCF_001029005.1	Viral	1986960	9465	0.009026527
GCF_003673605.1	Viral	2507304	9467	0.009028435
GCF_001934365.1	Viral	1922560	9470	0.009031296
GCF_001966515.1	Viral	1923163	9470	0.009031296
GCF_001934245.1	Viral	1922633	9472	0.009033203
GCF_004208755.1	Viral	2734334	9475	0.009036064
GCF_000850085.1	Viral	64279	9478	0.009038925
GCF_001957955.1	Viral	1923608	9478	0.009038925
GCF_001933965.1	Viral	1922612	9486	0.009046555
GCF_000861625.1	Viral	12263	9489	0.009049416
GCF_000919575.1	Viral	1755588	9489	0.009049416
GCF_001926535.1	Viral	1922492	9489	0.009049416
GCF_001935785.1	Viral	1922582	9490	0.009050369
GCF_000850745.1	Viral	81583	9491	0.009051323
GCF_001924415.1	Viral	1922617	9498	0.009057999
GCF_001959035.1	Viral	1923542	9498	0.009057999
GCF_000911155.1	Viral	1410467	9499	0.009058952
GCF_002867105.1	Viral	1131416	9501	0.00906086
GCF_002987495.1	Viral	178599	9510	0.009069443
GCF_001967095.1	Viral	1923105	9516	0.009075165
GCF_000888875.1	Viral	75387	9518	0.009077072
GCF_000898715.1	Viral	1211388	9518	0.009077072
GCF_001933745.1	Viral	1922556	9518	0.009077072
GCF_001966455.1	Viral	1923115	9518	0.009077072
GCF_000922155.1	Viral	2170240	9524	0.009082794
GCF_002889975.1	Viral	2018471	9525	0.009083748
GCF_000885875.1	Viral	2734351	9526	0.009084702
GCF_001934465.1	Viral	1922538	9529	0.009087563
GCF_000858245.1	Viral	157018	9532	0.009090424
GCF_001661875.1	Viral	1856031	9537	0.009095192
GCF_000906295.1	Viral	1213588	9539	0.009097099
GCF_000853465.1	Viral	50817	9542	0.00909996
GCF_001958415.1	Viral	1923487	9543	0.009100914
GCF_004787055.1	Viral	2560739	9544	0.009101868
GCF_001935125.1	Viral	1922585	9546	0.009103775
GCF_004208795.1	Viral	2734335	9548	0.009105682
GCF_001959055.1	Viral	1923536	9554	0.009111404
GCF_002210995.1	Viral	2010274	9555	0.009112358
GCF_000921535.1	Viral	1529605	9556	0.009113312
GCF_001934725.1	Viral	1922627	9557	0.009114265
GCF_000852625.1	Viral	112437	9558	0.009115219
GCF_001958575.1	Viral	1923445	9559	0.009116173
GCF_000869745.1	Viral	2170238	9561	0.00911808
GCF_002004215.1	Viral	1923740	9564	0.009120941
GCF_000880435.1	Viral	182452	9567	0.009123802
GCF_001958815.1	Viral	1923611	9576	0.009132385
GCF_001935085.1	Viral	1922641	9578	0.009134293
GCF_001963415.1	Viral	1922787	9584	0.009140015
GCF_001961955.1	Viral	1923366	9585	0.009140968
GCF_000911235.1	Viral	1414644	9588	0.009143829
GCF_001502755.1	Viral	351426	9594	0.009149551
GCF_000922575.1	Viral	1281455	9594	0.009149551
GCF_001966675.1	Viral	1922826	9594	0.009149551
GCF_001968415.1	Viral	1923101	9595	0.009150505
GCF_001964555.1	Viral	1922832	9596	0.009151459
GCF_001958955.1	Viral	1923563	9596	0.009151459
GCF_000862365.1	Viral	31741	9597	0.009152412
GCF_000855425.1	Viral	11886	9598	0.009153366
GCF_001963395.1	Viral	1922792	9604	0.009159088
GCF_000862405.1	Viral	39113	9607	0.009161949
GCF_001957915.1	Viral	1923618	9607	0.009161949
GCF_000862005.1	Viral	1985356	9608	0.009162903
GCF_001925935.1	Viral	1923409	9609	0.009163857
GCF_000855305.1	Viral	1225732	9617	0.009171486
GCF_000850465.1	Viral	35350	9620	0.009174347
GCF_002149845.1	Viral	1969351	9621	0.009175301
GCF_001654385.1	Viral	1648482	9622	0.009176254
GCF_001678235.1	Viral	1862127	9622	0.009176254
GCF_000924795.1	Viral	351427	9632	0.009185791
GCF_002004115.1	Viral	1923768	9632	0.009185791
GCF_001934305.1	Viral	1922618	9633	0.009186745
GCF_001958015.1	Viral	1923626	9633	0.009186745
GCF_001935325.1	Viral	1922592	9638	0.009191513
GCF_001933645.1	Viral	1922626	9639	0.009192467
GCF_001651205.1	Viral	1848169	9647	0.009200096
GCF_001933945.1	Viral	1922616	9648	0.00920105
GCF_001934225.1	Viral	1922638	9651	0.009203911
GCF_001934985.1	Viral	1922534	9653	0.009205818
GCF_000860385.1	Viral	12264	9655	0.009207726
GCF_000901615.1	Viral	12204	9659	0.00921154
GCF_001935365.1	Viral	1922583	9661	0.009213448
GCF_003029315.1	Viral	282712	9662	0.009214401
GCF_002163385.1	Viral	1993907	9669	0.009221077
GCF_002194445.1	Viral	2005444	9669	0.009221077
GCF_000855025.1	Viral	41764	9672	0.009223938
GCF_002271005.1	Viral	1959287	9672	0.009223938
GCF_001933625.1	Viral	1922630	9673	0.009224892
GCF_002004495.1	Viral	1923752	9673	0.009224892
GCF_004134025.1	Viral	2306623	9677	0.009228706
GCF_001957815.1	Viral	1923641	9678	0.00922966
GCF_000849405.1	Viral	170621	9682	0.009233475
GCF_001935445.1	Viral	1922674	9684	0.009235382
GCF_000861665.1	Viral	12199	9685	0.009236336
GCF_000854865.1	Viral	11673	9691	0.009242058
GCF_000860705.1	Viral	12228	9691	0.009242058
GCF_000913595.1	Viral	45617	9692	0.009243011
GCF_002828505.1	Viral	12201	9697	0.00924778
GCF_001935165.1	Viral	1922570	9697	0.00924778
GCF_000889895.1	Viral	421012	9699	0.009249687
GCF_000861345.1	Viral	12227	9702	0.009252548
GCF_001934145.1	Viral	1922605	9702	0.009252548
GCF_000856345.1	Viral	92444	9706	0.009256363
GCF_002817455.1	Viral	497136	9706	0.009256363
GCF_000882095.1	Viral	2169725	9707	0.009257317
GCF_000870485.1	Viral	294365	9708	0.00925827
GCF_000885315.1	Viral	433462	9717	0.009266853
GCF_001959795.1	Viral	1923597	9718	0.009267807
GCF_000924455.1	Viral	114922	9719	0.009268761
GCF_000887395.1	Viral	458132	9719	0.009268761
GCF_001965435.1	Viral	1923093	9720	0.009269714
GCF_000900415.1	Viral	1048434	9722	0.009271622
GCF_001968435.1	Viral	1923162	9725	0.009274483
GCF_004130415.1	Viral	1965225	9725	0.009274483
GCF_000863225.1	Viral	12203	9729	0.009278297
GCF_002270765.2	Viral	2560385	9730	0.009279251
GCF_000853385.1	Viral	68876	9731	0.009280205
GCF_002937175.1	Viral	421013	9731	0.009280205
GCF_001962955.1	Viral	1923340	9733	0.009282112
GCF_000917415.1	Viral	1228012	9735	0.009284019
GCF_001967555.1	Viral	1923252	9736	0.009284973
GCF_000908975.1	Viral	1324128	9738	0.00928688
GCF_000897915.1	Viral	1220025	9739	0.009287834
GCF_000921435.1	Viral	1920772	9739	0.009287834
GCF_001967955.1	Viral	1923143	9743	0.009291649
GCF_001933825.1	Viral	2509380	9743	0.009291649
GCF_001934905.1	Viral	1922540	9744	0.009292603
GCF_001962975.1	Viral	1923332	9745	0.009293556
GCF_000863145.1	Viral	12197	9746	0.00929451
GCF_000860685.1	Viral	40666	9746	0.00929451
GCF_001651085.1	Viral	1848042	9748	0.009296417
GCF_001935385.1	Viral	1922573	9748	0.009296417
GCF_000856705.1	Viral	12222	9752	0.009300232
GCF_001440935.1	Viral	1608045	9752	0.009300232
GCF_001958055.1	Viral	1923614	9752	0.009300232
GCF_000867105.1	Viral	322053	9754	0.009302139
GCF_000851745.1	Viral	11723	9756	0.009304047
GCF_000869045.1	Viral	578107	9758	0.009305954
GCF_000901635.1	Viral	87097	9761	0.009308815
GCF_000847425.1	Viral	1307800	9761	0.009308815
GCF_001934425.1	Viral	1922546	9763	0.009310722
GCF_001967355.1	Viral	1923097	9763	0.009310722
GCF_000894535.1	Viral	1129873	9764	0.009311676
GCF_001923475.1	Viral	1922768	9767	0.009314537
GCF_000897875.1	Viral	115232	9768	0.009315491
GCF_001963475.1	Viral	1922769	9768	0.009315491
GCF_002820765.1	Viral	2008761	9770	0.009317398
GCF_000929655.1	Viral	1527523	9773	0.009320259
GCF_001926515.1	Viral	1922498	9779	0.009325981
GCF_000915195.1	Viral	320856	9780	0.009326935
GCF_000895035.1	Viral	1088890	9780	0.009326935
GCF_001661735.1	Viral	1170424	9781	0.009327888
GCF_000915215.1	Viral	1432856	9781	0.009327888
GCF_004129835.1	Viral	2056384	9782	0.009328842
GCF_002029655.1	Viral	1963260	9787	0.009333611
GCF_000922415.1	Viral	1534547	9788	0.009334564
GCF_000861585.1	Viral	12215	9790	0.009336472
GCF_004788675.1	Viral	2058620	9790	0.009336472
GCF_001933665.1	Viral	1922619	9791	0.009337425
GCF_000926935.1	Viral	326202	9792	0.009338379
GCF_001968655.1	Viral	1923245	9792	0.009338379
GCF_000920695.1	Viral	1489714	9793	0.009339333
GCF_002374955.1	Viral	1930510	9793	0.009339333
GCF_000873745.1	Viral	33765	9794	0.009340286
GCF_001961455.1	Viral	1922707	9796	0.009342194
GCF_000861485.1	Viral	12198	9799	0.009345055
GCF_000854465.1	Viral	114921	9799	0.009345055
GCF_001966655.1	Viral	1922835	9799	0.009345055
GCF_003029035.1	Viral	1477515	9801	0.009346962
GCF_001549545.1	Viral	1775963	9803	0.009348869
GCF_000896355.1	Viral	414528	9807	0.009352684
GCF_000854025.1	Viral	12224	9809	0.009354591
GCF_002024675.1	Viral	1955196	9809	0.009354591
GCF_000861645.1	Viral	12232	9810	0.009355545
GCF_001968295.1	Viral	1923635	9812	0.009357452
GCF_002375015.1	Viral	1930507	9812	0.009357452
GCF_001029025.1	Viral	369752	9813	0.009358406
GCF_001961735.1	Viral	1922788	9814	0.00935936
GCF_002004075.1	Viral	1923778	9815	0.009360313
GCF_002117775.1	Viral	1972700	9815	0.009360313
GCF_000851785.1	Viral	41460	9816	0.009361267
GCF_000921575.1	Viral	1534548	9816	0.009361267
GCF_001925755.1	Viral	1922497	9816	0.009361267
GCF_003727435.1	Viral	1904876	9817	0.009362221
GCF_001965595.1	Viral	1923125	9823	0.009367943
GCF_000930635.1	Viral	1516128	9824	0.009368896
GCF_000863645.1	Viral	221262	9826	0.009370804
GCF_002005075.1	Viral	1923770	9834	0.009378433
GCF_000903975.1	Viral	91613	9835	0.009379387
GCF_002821045.1	Viral	2008770	9835	0.009379387
GCF_000856865.1	Viral	32619	9836	0.009380341
GCF_000861385.1	Viral	43240	9837	0.009381294
GCF_001430295.1	Viral	128790	9839	0.009383202
GCF_001965535.1	Viral	1923009	9839	0.009383202
GCF_001967755.1	Viral	1923643	9840	0.009384155
GCF_000861605.1	Viral	76875	9843	0.009387016
GCF_001957855.1	Viral	1923632	9843	0.009387016
GCF_000897375.1	Viral	405558	9844	0.00938797
GCF_001935805.1	Viral	1922571	9848	0.009391785
GCF_001965555.1	Viral	1922999	9848	0.009391785
GCF_000860525.1	Viral	12209	9851	0.009394646
GCF_000960945.1	Viral	1629132	9851	0.009394646
GCF_000873525.1	Viral	460364	9852	0.009395599
GCF_000866425.1	Viral	32624	9853	0.009396553
GCF_001961075.1	Viral	1923367	9855	0.00939846
GCF_001966255.1	Viral	1923091	9857	0.009400368
GCF_001925615.1	Viral	1922430	9858	0.009401321
GCF_000895595.1	Viral	1080799	9859	0.009402275
GCF_001654345.1	Viral	2170135	9859	0.009402275
GCF_000860425.1	Viral	12262	9861	0.009404182
GCF_001444125.1	Viral	1746066	9861	0.009404182
GCF_000894095.1	Viral	418827	9862	0.009405136
GCF_000861845.1	Viral	11103	9866	0.009408951
GCF_000880155.1	Viral	332471	9866	0.009408951
GCF_001661855.1	Viral	1307801	9867	0.009409904
GCF_000852185.1	Viral	12742	9868	0.009410858
GCF_001461225.1	Viral	1758881	9869	0.009411812
GCF_000882395.1	Viral	160843	9871	0.009413719
GCF_001957455.1	Viral	1923153	9871	0.009413719
GCF_000871025.1	Viral	400396	9875	0.009417534
GCF_000894695.1	Viral	421010	9876	0.009418488
GCF_002004895.1	Viral	1923697	9876	0.009418488
GCF_000862565.1	Viral	192452	9878	0.009420395
GCF_001502135.1	Viral	351428	9882	0.00942421
GCF_004788695.1	Viral	2056161	9884	0.009426117
GCF_002816465.1	Viral	1072333	9885	0.009427071
GCF_000860645.1	Viral	42631	9890	0.009431839
GCF_001755505.1	Viral	1977105	9890	0.009431839
GCF_001736275.1	Viral	2734349	9892	0.009433746
GCF_004788515.1	Viral	2058396	9895	0.009436607
GCF_001560985.1	Viral	1781241	9898	0.009439468
GCF_000890955.1	Viral	409486	9900	0.009441376
GCF_000873465.1	Viral	400394	9902	0.009443283
GCF_000889535.1	Viral	31732	9904	0.00944519
GCF_000862905.1	Viral	12216	9911	0.009451866
GCF_001968055.1	Viral	1923253	9911	0.009451866
GCF_000866545.1	Viral	201862	9914	0.009454727
GCF_001965655.1	Viral	1923113	9916	0.009456635
GCF_001968075.1	Viral	1923247	9916	0.009456635
GCF_000920755.1	Viral	1350001	9918	0.009458542
GCF_000860725.1	Viral	33763	9921	0.009461403
GCF_002922455.1	Viral	2070152	9921	0.009461403
GCF_001964755.1	Viral	1923088	9922	0.009462357
GCF_000895495.1	Viral	2747322	9922	0.009462357
GCF_001933865.1	Viral	1922637	9924	0.009464264
GCF_001968675.1	Viral	2501936	9928	0.009468079
GCF_000871865.1	Viral	45661	9929	0.009469032
GCF_000860025.1	Viral	52280	9930	0.009469986
GCF_001958775.1	Viral	1923622	9930	0.009469986
GCF_000917115.1	Viral	160842	9935	0.009474754
GCF_004133685.1	Viral	2304480	9936	0.009475708
GCF_000910755.1	Viral	649890	9937	0.009476662
GCF_003029615.1	Viral	2170008	9937	0.009476662
GCF_000862925.1	Viral	12260	9939	0.009478569
GCF_000866365.1	Viral	299200	9942	0.00948143
GCF_001963115.1	Viral	1922711	9946	0.009485245
GCF_002821025.1	Viral	2008769	9947	0.009486198
GCF_000862085.1	Viral	12211	9949	0.009488106
GCF_000875185.1	Viral	515446	9951	0.009490013
GCF_000889115.1	Viral	433357	9954	0.009492874
GCF_000871305.1	Viral	167129	9956	0.009494781
GCF_000955115.1	Viral	945960	9956	0.009494781
GCF_001935545.1	Viral	1922567	9956	0.009494781
GCF_001964995.1	Viral	1923164	9956	0.009494781
GCF_000904735.1	Viral	715480	9957	0.009495735
GCF_000887435.1	Viral	796352	9957	0.009495735
GCF_001964875.1	Viral	1923129	9965	0.009503365
GCF_000863025.1	Viral	11041	9969	0.009507179
GCF_001907765.1	Viral	1926967	9969	0.009507179
GCF_000928895.1	Viral	443746	9973	0.009510994
GCF_000858065.1	Viral	137475	9974	0.009511948
GCF_000863265.1	Viral	79917	9979	0.009516716
GCF_000889995.1	Viral	160358	9981	0.009518623
GCF_000889635.1	Viral	941765	9981	0.009518623
GCF_000861225.1	Viral	12261	9982	0.009519577
GCF_002219505.1	Viral	1041883	9985	0.009522438
GCF_001974155.1	Viral	1923717	9986	0.009523392
GCF_004114775.1	Viral	1587509	9997	0.009533882
