Assembly_accession	superkingdom	genomic_size	Tools
GCF_000742835.1	Bacteria	2.399785042	Kraken2
GCF_000686725.1	Bacteria	4.436752319	Kraken2
GCF_900176305.1	Bacteria	3.867213249	Kraken2
GCF_900452395.1	Bacteria	3.417093277	Kraken2
GCF_900639865.1	Bacteria	3.740650177	Kraken2
GCF_001547995.1	Bacteria	3.088291168	Kraken2
GCF_000378245.1	Bacteria	5.727492332	Kraken2
GCF_900130105.1	Bacteria	5.07531929	Kraken2
GCF_000706625.1	Bacteria	1.687241554	Kraken2
GCF_000227665.2	Bacteria	2.084165573	Kraken2
GCF_000702805.1	Bacteria	0.716147423	Kraken2
GCF_000702745.1	Bacteria	0.640666008	Kraken2
GCF_006385185.1	Bacteria	0.713737488	Kraken2
GCF_006385795.1	Bacteria	0.654075623	Kraken2
GCF_000620005.1	Bacteria	0.809998512	Kraken2
GCF_003688445.1	Bacteria	0.630576134	Kraken2
GCF_003219795.1	Bacteria	3.744750023	Kraken2
GCF_900167255.1	Bacteria	4.019964218	Kraken2
GCF_002858935.1	Bacteria	4.941310883	Kraken2
GCF_000336255.1	Bacteria	5.093239784	Kraken2
GCF_002591335.1	Bacteria	10.37472725	Kraken2
GCF_000300975.2	Bacteria	5.230457306	Kraken2
GCF_001673675.1	Bacteria	8.613113403	Kraken2
GCF_000987865.1	Bacteria	3.223902702	Kraken2
GCF_000956575.1	Bacteria	3.793828964	Kraken2
GCF_003989665.1	Bacteria	6.770362854	Kraken2
GCF_000317205.1	Bacteria	6.689617157	Kraken2
GCF_002368035.1	Bacteria	8.294864655	Kraken2
GCF_000164885.1	Bacteria	3.175473213	Kraken2
GCF_002117445.1	Bacteria	2.620994568	Kraken2
GCF_007990915.1	Bacteria	3.819497108	Kraken2
GCF_001598395.1	Bacteria	4.187656403	Kraken2
GCF_900079095.1	Bacteria	7.763770103	Kraken2
GCF_000826965.5	Bacteria	5.390107155	Kraken2
GCF_001465545.3	Bacteria	5.955254555	Kraken2
GCF_000504585.2	Bacteria	5.200692177	Kraken2
GCF_000815105.2	Bacteria	5.665815353	Kraken2
GCF_000814845.2	Bacteria	5.54547596	Kraken2
GCF_000304395.1	Bacteria	4.45834446	Kraken2
GCF_000474215.1	Bacteria	3.591301918	Kraken2
GCF_000235405.2	Bacteria	2.09191227	Kraken2
GCF_000521785.1	Bacteria	4.351362228	Kraken2
GCF_900115815.1	Bacteria	3.645312309	Kraken2
GCF_000016785.1	Bacteria	1.760828972	Kraken2
GCF_000025105.1	Bacteria	1.747614861	Kraken2
GCF_002075795.1	Bacteria	4.804567337	Kraken2
GCF_900109965.1	Bacteria	5.858593941	Kraken2
GCF_900217715.1	Bacteria	4.293401718	Kraken2
GCF_000510645.1	Bacteria	3.531880379	Kraken2
GCF_000203935.1	Bacteria	5.070605278	Kraken2
GCF_000215705.1	Bacteria	3.93021965	Kraken2
GCF_000269905.1	Bacteria	2.837505341	Kraken2
GCF_004402015.1	Bacteria	3.141818047	Kraken2
GCF_000023125.1	Bacteria	6.728125572	Kraken2
GCF_000423565.1	Bacteria	7.347333908	Kraken2
GCF_000067205.1	Bacteria	5.106081963	Kraken2
GCF_000182645.1	Bacteria	4.563221931	Kraken2
GCF_002252505.1	Bacteria	4.689511299	Kraken2
GCF_000224925.1	Bacteria	3.530837059	Kraken2
GCF_003609635.1	Bacteria	4.48387146	Kraken2
GCF_900104115.1	Bacteria	3.920615196	Kraken2
GCF_000518225.1	Bacteria	1.386879921	Kraken2
GCF_900198625.1	Bacteria	2.429229736	Kraken2
GCF_900116135.1	Bacteria	6.076770782	Kraken2
GCF_001612785.1	Bacteria	7.229563713	Kraken2
GCF_004348895.1	Bacteria	6.169999123	Kraken2
GCF_001685505.1	Bacteria	7.695076942	Kraken2
GCF_000009485.1	Bacteria	7.778913498	Kraken2
GCF_000333475.1	Bacteria	6.805136681	Kraken2
GCF_000333275.1	Bacteria	7.142659187	Kraken2
GCF_000333335.1	Bacteria	4.780536652	Kraken2
GCF_000333455.1	Bacteria	5.384754181	Kraken2
GCF_000333515.1	Bacteria	4.531574249	Kraken2
GCF_000333495.1	Bacteria	5.209226608	Kraken2
GCF_000333535.1	Bacteria	4.390228271	Kraken2
GCF_000333315.1	Bacteria	3.307317734	Kraken2
GCF_000333375.1	Bacteria	3.642224312	Kraken2
GCF_000333415.1	Bacteria	2.96224308	Kraken2
GCF_000333435.1	Bacteria	4.179003716	Kraken2
GCF_000333355.1	Bacteria	4.071291924	Kraken2
GCF_000317185.3	Bacteria	6.742517471	Kraken2
GCF_000341735.1	Bacteria	4.893131256	Kraken2
GCF_001467585.1	Bacteria	3.439270973	Kraken2
GCF_900639985.1	Bacteria	3.835196495	Kraken2
GCF_000953135.1	Bacteria	4.282533646	Kraken2
GCF_900078515.1	Bacteria	2.842562675	Kraken2
GCF_001592245.1	Bacteria	6.421569824	Kraken2
GCF_000064305.2	Bacteria	2.76203537	Kraken2
GCF_000308835.1	Bacteria	9.838009834	Kraken2
GCF_002204235.2	Bacteria	1.036504745	Kraken2
GCF_000615445.1	Bacteria	1.770875931	Kraken2
GCF_000333395.1	Bacteria	3.568040848	Kraken2
GCF_001922305.1	Bacteria	3.607061386	Kraken2
GCF_002951955.1	Bacteria	2.520668983	Kraken2
GCF_000210915.2	Bacteria	3.319736481	Kraken2
GCF_000364185.1	Bacteria	1.945903778	Kraken2
GCF_000364165.1	Bacteria	2.813022614	Kraken2
GCF_000364245.1	Bacteria	6.260691643	Kraken2
GCF_000364225.1	Bacteria	6.288101196	Kraken2
GCF_000266925.1	Bacteria	2.086421013	Kraken2
GCF_000248095.2	Bacteria	2.350973129	Kraken2
GCF_900109845.1	Bacteria	2.120583534	Kraken2
GCF_000829195.1	Bacteria	3.470998764	Kraken2
GCF_000455325.1	Bacteria	6.671895981	Kraken2
GCF_000758985.1	Bacteria	2.394384384	Kraken2
GCF_001552075.1	Bacteria	3.7856493	Kraken2
GCF_000425505.1	Bacteria	3.510091782	Kraken2
GCF_001050535.1	Bacteria	4.118314743	Kraken2
GCF_001046855.1	Bacteria	4.984784126	Kraken2
GCF_003609645.1	Bacteria	2.672592163	Kraken2
GCF_001598435.1	Bacteria	4.586084366	Kraken2
GCF_000316575.1	Bacteria	6.781634331	Kraken2
GCF_001894845.1	Bacteria	9.779583931	Kraken2
GCF_003217325.1	Bacteria	3.934989929	Kraken2
GCF_900111235.1	Bacteria	4.415205002	Kraken2
GCF_900461105.1	Bacteria	3.014978409	Kraken2
GCF_000767255.1	Bacteria	2.483854294	Kraken2
GCF_003003275.1	Bacteria	2.737944603	Kraken2
GCF_000243815.2	Bacteria	4.085728645	Kraken2
GCF_900143645.1	Bacteria	5.235760689	Kraken2
GCF_900205925.1	Bacteria	3.408272743	Kraken2
GCF_900176335.1	Bacteria	2.792844772	Kraken2
GCF_000298175.1	Bacteria	3.421889305	Kraken2
GCF_001435585.1	Bacteria	3.204418182	Kraken2
GCF_003858455.1	Bacteria	2.496006966	Kraken2
GCF_000333295.1	Bacteria	5.288766861	Kraken2
GCF_000020525.1	Bacteria	3.180210114	Kraken2
GCF_000186525.1	Bacteria	3.728246689	Kraken2
GCF_000173795.1	Bacteria	2.630273819	Kraken2
GCF_000306885.1	Bacteria	0.925112724	Kraken2
GCF_002884495.1	Bacteria	3.71878624	Kraken2
GCF_000265385.1	Bacteria	3.399606705	Kraken2
GCF_000011745.1	Bacteria	0.764492035	Kraken2
GCF_001941865.1	Bacteria	5.156630516	Kraken2
GCF_000170335.1	Bacteria	6.797039986	Kraken2
GCF_000367525.1	Bacteria	3.065535545	Kraken2
GCF_000429305.1	Bacteria	5.576607704	Kraken2
GCF_000317575.1	Bacteria	5.354679108	Kraken2
GCF_000332055.1	Bacteria	5.745604515	Kraken2
GCF_000332355.1	Bacteria	5.941383362	Kraken2
GCF_000316115.1	Bacteria	9.099218369	Kraken2
GCF_000233715.2	Bacteria	4.688539505	Kraken2
GCF_000186945.2	Bacteria	1.941560745	Kraken2
GCF_000332035.1	Bacteria	3.906305313	Kraken2
GCF_000154985.1	Bacteria	1.861274719	Kraken2
GCF_003144535.1	Bacteria	3.644525528	Kraken2
GCF_000380005.1	Bacteria	1.814335823	Kraken2
GCF_001414035.1	Bacteria	7.269453049	Kraken2
GCF_000177675.1	Bacteria	9.06022644	Kraken2
GCF_000317595.1	Bacteria	10.11175442	Kraken2
GCF_000429025.1	Bacteria	9.217543602	Kraken2
GCF_000159015.1	Bacteria	1.667546272	Kraken2
GCF_000159035.1	Bacteria	2.615726471	Kraken2
GCF_000009705.1	Bacteria	6.964162827	Kraken2
GCF_000482865.1	Bacteria	7.039168358	Kraken2
GCF_000328705.1	Bacteria	9.038664818	Kraken2
GCF_000716755.1	Bacteria	10.52736187	Kraken2
GCF_003752005.1	Bacteria	8.86252594	Kraken2
GCF_000949305.1	Bacteria	6.561717987	Kraken2
GCF_000374405.1	Bacteria	2.359487534	Kraken2
GCF_000236965.1	Bacteria	5.072714806	Kraken2
GCF_006716785.1	Bacteria	5.567223549	Kraken2
GCF_005889735.1	Bacteria	11.03019428	Kraken2
GCF_000471685.1	Bacteria	4.735819817	Kraken2
GCF_900460315.1	Bacteria	2.16858387	Kraken2
GCF_003992115.1	Bacteria	2.163949966	Kraken2
GCF_000802155.2	Bacteria	6.349729538	Kraken2
GCF_006539345.1	Bacteria	2.613280296	Kraken2
GCF_000964205.1	Bacteria	2.935749054	Kraken2
GCF_000963945.1	Bacteria	3.313281059	Kraken2
GCF_000225485.1	Bacteria	3.65362072	Kraken2
GCF_000152145.1	Bacteria	4.223237038	Kraken2
GCF_001027945.1	Bacteria	3.30807209	Kraken2
GCF_000430545.1	Bacteria	3.986240387	Kraken2
GCF_000956415.1	Bacteria	3.440700531	Kraken2
GCF_000783375.1	Bacteria	4.360689163	Kraken2
GCF_002933855.1	Bacteria	6.200235367	Kraken2
GCF_000463345.2	Bacteria	4.800768852	Kraken2
GCF_000187605.1	Bacteria	1.638214111	Kraken2
GCF_007830125.1	Bacteria	6.760972977	Kraken2
GCF_900102545.1	Bacteria	8.330552101	Kraken2
GCF_001436045.1	Bacteria	1.676200867	Kraken2
GCF_000953875.1	Bacteria	4.512915611	Kraken2
GCF_001591485.1	Bacteria	3.202860832	Kraken2
GCF_000787815.1	Bacteria	8.146398544	Kraken2
GCF_000787775.1	Bacteria	8.179101944	Kraken2
GCF_000744705.1	Bacteria	9.57407093	Kraken2
GCF_000711975.1	Bacteria	2.539657593	Kraken2
GCF_000015725.1	Bacteria	4.484009743	Kraken2
GCF_001434695.1	Bacteria	1.538096428	Kraken2
GCF_000746985.1	Bacteria	4.633813858	Kraken2
GCF_000154305.1	Bacteria	3.485022545	Kraken2
GCF_000372865.1	Bacteria	4.80737114	Kraken2
GCF_000013345.1	Bacteria	5.246732712	Kraken2
GCF_900188345.1	Bacteria	10.4285059	Kraken2
GCF_000262445.1	Bacteria	2.452854156	Kraken2
GCF_000169255.2	Bacteria	4.102639198	Kraken2
GCF_000009285.1	Bacteria	7.161672592	Kraken2
GCF_000583045.1	Bacteria	7.444026947	Kraken2
GCF_001020955.1	Bacteria	2.867268562	Kraken2
GCF_000248295.1	Bacteria	4.84896183	Kraken2
GCF_000368145.1	Bacteria	4.735159874	Kraken2
GCF_000162375.2	Bacteria	3.817342758	Kraken2
GCF_004936715.1	Bacteria	4.149401665	Kraken2
GCF_002156545.1	Bacteria	4.429978371	Kraken2
GCF_004803875.1	Bacteria	3.218670845	Kraken2
GCF_000685825.1	Bacteria	4.597826958	Kraken2
GCF_000527115.1	Bacteria	4.915793419	Kraken2
GCF_000745215.1	Bacteria	4.953520775	Kraken2
GCF_000702925.2	Bacteria	5.053527832	Kraken2
GCF_902364065.1	Bacteria	2.499064445	Kraken2
GCF_000019965.1	Bacteria	5.752686501	Kraken2
GCF_002000365.1	Bacteria	3.53142643	Kraken2
GCF_000237825.1	Bacteria	1.816215515	Kraken2
GCF_000227685.2	Bacteria	3.627542496	Kraken2
GCF_000261785.1	Bacteria	8.020954132	Kraken2
GCF_000025645.1	Bacteria	2.366792679	Kraken2
GCF_900111575.1	Bacteria	2.230110168	Kraken2
GCF_000525655.1	Bacteria	2.626228333	Kraken2
GCF_003206495.1	Bacteria	3.500153542	Kraken2
GCF_000378005.1	Bacteria	1.375581741	Kraken2
GCF_000248135.1	Bacteria	3.463003159	Kraken2
GCF_000301815.1	Bacteria	3.103385925	Kraken2
GCF_002939985.1	Bacteria	4.894127846	Kraken2
GCF_000499665.2	Bacteria	1.306955338	Kraken2
GCF_900176285.1	Bacteria	3.57452774	Kraken2
GCF_000426905.1	Bacteria	4.304081917	Kraken2
GCF_002367975.1	Bacteria	6.827067375	Kraken2
GCF_000426305.1	Bacteria	3.157006264	Kraken2
GCF_000482505.1	Bacteria	2.76356411	Kraken2
GCF_001552555.1	Bacteria	6.189796448	Kraken2
GCF_004345785.1	Bacteria	2.038509369	Kraken2
GCF_004685025.1	Bacteria	1.242922783	Kraken2
GCF_000155915.2	Bacteria	1.686223984	Kraken2
GCF_000389985.1	Bacteria	4.074158669	Kraken2
GCF_000017145.1	Bacteria	6.583307266	Kraken2
GCF_001077755.1	Bacteria	4.857745171	Kraken2
GCF_000015305.1	Bacteria	6.268573761	Kraken2
GCF_000012625.1	Bacteria	2.424333572	Kraken2
GCF_000515235.1	Bacteria	2.554969788	Kraken2
GCF_000938265.1	Bacteria	3.787641525	Kraken2
GCF_003044275.1	Bacteria	3.978435516	Kraken2
GCF_004011135.1	Bacteria	4.209834099	Kraken2
GCF_001553565.1	Bacteria	2.946695328	Kraken2
GCF_000378065.1	Bacteria	2.241937637	Kraken2
GCF_000224085.1	Bacteria	3.710287094	Kraken2
GCF_000273375.1	Bacteria	1.770993233	Kraken2
GCF_000298215.1	Bacteria	4.693528175	Kraken2
GCF_001870905.1	Bacteria	4.650380135	Kraken2
GCF_000316605.1	Bacteria	4.94964695	Kraken2
GCF_900659615.1	Bacteria	10.5901041	Kraken2
GCF_000518265.1	Bacteria	9.035423279	Kraken2
GCF_003634705.1	Bacteria	7.270583153	Kraken2
GCF_003386555.1	Bacteria	7.14170742	Kraken2
GCF_900101915.1	Bacteria	2.962706566	Kraken2
GCF_000510805.1	Bacteria	2.380563736	Kraken2
GCF_003815775.1	Bacteria	4.722530365	Kraken2
GCF_900129355.1	Bacteria	3.715751648	Kraken2
GCF_004761975.1	Bacteria	3.341002464	Kraken2
GCF_900115345.1	Bacteria	9.537693977	Kraken2
GCF_002257695.1	Bacteria	5.86896801	Kraken2
GCF_900176355.1	Bacteria	5.018190384	Kraken2
GCF_900110485.1	Bacteria	4.286176682	Kraken2
GCF_000393935.1	Bacteria	2.976579666	Kraken2
GCF_000186465.1	Bacteria	2.057202339	Kraken2
GCF_001547755.1	Bacteria	1.418971062	Kraken2
GCF_002189065.1	Bacteria	3.953734398	Kraken2
GCF_000185505.1	Bacteria	2.285562515	Kraken2
GCF_000472425.1	Bacteria	8.212533951	Kraken2
GCF_900104725.1	Bacteria	10.2877121	Kraken2
GCF_000379645.1	Bacteria	10.6170311	Kraken2
GCF_003001815.1	Bacteria	10.77608967	Kraken2
GCF_000962825.1	Bacteria	9.997404099	Kraken2
GCF_001006785.1	Bacteria	3.710905075	Kraken2
GCF_001438725.1	Bacteria	2.0566082	Kraken2
GCF_001477135.1	Bacteria	5.422952652	Kraken2
GCF_000010365.1	Bacteria	0.154232025	Kraken2
GCF_004342625.1	Bacteria	2.617796898	Kraken2
GCF_000308675.1	Bacteria	5.804797173	Kraken2
GCF_000292685.1	Bacteria	0.345983505	Kraken2
GCF_003034225.1	Bacteria	4.347250938	Kraken2
GCF_002998925.1	Bacteria	1.753437996	Kraken2
GCF_000026145.1	Bacteria	7.200099945	Kraken2
GCF_000022085.1	Bacteria	8.535535812	Kraken2
GCF_000621485.1	Bacteria	3.891354561	Kraken2
GCF_000380105.1	Bacteria	2.342041969	Kraken2
GCF_001896135.2	Bacteria	8.354645729	Kraken2
GCF_000280865.1	Bacteria	7.615683556	Kraken2
GCF_002155885.1	Bacteria	11.32234192	Kraken2
GCF_900660705.1	Bacteria	0.820315361	Kraken2
GCF_000222995.1	Bacteria	0.72368145	Kraken2
GCF_000687815.1	Bacteria	0.746006966	Kraken2
GCF_000686585.1	Bacteria	0.752561569	Kraken2
GCF_900660665.1	Bacteria	0.88782692	Kraken2
GCF_000712185.1	Bacteria	0.753692627	Kraken2
GCF_001499915.1	Bacteria	5.030301094	Kraken2
GCF_001552235.1	Bacteria	6.511631012	Kraken2
GCF_900114035.1	Bacteria	7.332637787	Kraken2
GCF_900141895.1	Bacteria	2.364304543	Kraken2
GCF_003298795.1	Bacteria	4.112561226	Kraken2
GCF_001576535.1	Bacteria	3.508182526	Kraken2
GCF_000800185.1	Bacteria	3.713624001	Kraken2
GCF_000421285.1	Bacteria	4.943171501	Kraken2
GCF_900167465.1	Bacteria	3.451966286	Kraken2
GCF_000239755.1	Bacteria	7.362942696	Kraken2
GCF_006265165.1	Bacteria	2.533634186	Kraken2
GCF_000401235.1	Bacteria	4.840671539	Kraken2
GCF_003433855.1	Bacteria	3.413472176	Kraken2
GCF_000425905.1	Bacteria	1.492217064	Kraken2
GCF_000761095.1	Bacteria	2.355434418	Kraken2
GCF_000331595.1	Bacteria	1.208494186	Kraken2
GCF_007830255.1	Bacteria	3.166352272	Kraken2
GCF_900104745.1	Bacteria	6.183442116	Kraken2
GCF_000013985.1	Bacteria	3.257769585	Kraken2
GCF_000280765.1	Bacteria	7.41173172	Kraken2
GCF_000025725.1	Bacteria	3.11128521	Kraken2
GCF_000332195.1	Bacteria	7.133722305	Kraken2
GCF_000332175.1	Bacteria	5.428993225	Kraken2
GCF_006569205.1	Bacteria	2.845531464	Kraken2
GCF_000478195.2	Bacteria	6.669462204	Kraken2
GCF_000317105.1	Bacteria	7.535990715	Kraken2
GCF_000175415.3	Bacteria	6.305825233	Kraken2
GCF_004153525.1	Bacteria	6.011084557	Kraken2
GCF_003344345.1	Bacteria	2.064399719	Kraken2
GCF_000177375.1	Bacteria	1.372076035	Kraken2
GCF_900167375.1	Bacteria	2.325090408	Kraken2
GCF_900102945.1	Bacteria	3.997781754	Kraken2
GCF_001543145.1	Bacteria	1.963945389	Kraken2
GCF_000196015.1	Bacteria	6.67578125	Kraken2
GCF_000772915.1	Bacteria	1.612878799	Kraken2
GCF_000217815.1	Bacteria	1.969822884	Kraken2
GCF_000014965.1	Bacteria	4.818624496	Kraken2
GCF_000214075.1	Bacteria	6.471712112	Kraken2
GCF_004366635.1	Bacteria	3.776492119	Kraken2
GCF_900112485.1	Bacteria	3.94729805	Kraken2
GCF_000382225.1	Bacteria	4.113059998	Kraken2
GCF_000342105.1	Bacteria	4.49054718	Kraken2
GCF_000192865.1	Bacteria	4.523213387	Kraken2
GCF_001931655.1	Bacteria	3.397136688	Kraken2
GCF_003666605.1	Bacteria	2.900027275	Kraken2
GCF_001591285.1	Bacteria	4.156295776	Kraken2
GCF_003399545.1	Bacteria	3.607680321	Kraken2
GCF_003987565.1	Bacteria	2.180812836	Kraken2
GCF_003751805.1	Bacteria	3.759106636	Kraken2
GCF_000157795.1	Bacteria	3.294949532	Kraken2
GCF_000157835.1	Bacteria	3.221321106	Kraken2
GCF_900100775.1	Bacteria	1.960406303	Kraken2
GCF_000308455.1	Bacteria	8.142335892	Kraken2
GCF_001667525.1	Bacteria	5.429797173	Kraken2
GCF_000017805.1	Bacteria	5.526452065	Kraken2
GCF_000745905.1	Bacteria	2.840220451	Kraken2
GCF_000429105.1	Bacteria	2.216364861	Kraken2
GCF_001541235.1	Bacteria	3.585687637	Kraken2
GCF_001484605.1	Bacteria	4.882368088	Kraken2
GCF_000277525.1	Bacteria	4.086647987	Kraken2
GCF_004000845.1	Bacteria	7.313270569	Kraken2
GCF_900091525.1	Bacteria	7.493994713	Kraken2
GCF_000382365.1	Bacteria	4.6233778	Kraken2
GCF_000153325.1	Bacteria	4.822530746	Kraken2
GCF_001870675.1	Bacteria	3.390639305	Kraken2
GCF_001186365.1	Bacteria	4.759941101	Kraken2
GCF_000282975.1	Bacteria	5.068497658	Kraken2
GCF_000430585.1	Bacteria	3.20293045	Kraken2
GCF_900167545.1	Bacteria	3.744185448	Kraken2
GCF_900167575.1	Bacteria	3.03062439	Kraken2
GCF_900444965.1	Bacteria	2.566807747	Kraken2
GCF_002015125.1	Bacteria	2.28866291	Kraken2
GCF_003814575.1	Bacteria	2.052815437	Kraken2
GCF_001702075.1	Bacteria	2.084715843	Kraken2
GCF_000155455.1	Bacteria	1.579398155	Kraken2
GCF_000471705.1	Bacteria	4.318178177	Kraken2
GCF_000621025.1	Bacteria	1.856894493	Kraken2
GCF_000341065.1	Bacteria	6.087741852	Kraken2
GCF_000341145.1	Bacteria	5.155395508	Kraken2
GCF_003614915.1	Bacteria	3.120368958	Kraken2
GCF_006716885.1	Bacteria	3.320128441	Kraken2
GCF_001439985.1	Bacteria	1.094914436	Kraken2
GCF_000371925.1	Bacteria	3.796346664	Kraken2
GCF_000380185.1	Bacteria	3.664128304	Kraken2
GCF_900115805.1	Bacteria	3.485444069	Kraken2
GCF_900114885.1	Bacteria	3.883137703	Kraken2
GCF_000384815.1	Bacteria	3.426419258	Kraken2
GCF_001904775.1	Bacteria	5.625592232	Kraken2
GCF_000173415.1	Bacteria	3.899451256	Kraken2
GCF_004000805.1	Bacteria	6.660142899	Kraken2
GCF_002102115.1	Bacteria	3.823428154	Kraken2
GCF_000832145.1	Bacteria	1.787962914	Kraken2
GCF_002865985.1	Bacteria	1.776958466	Kraken2
GCF_000019625.1	Bacteria	1.813138962	Kraken2
GCF_002866025.1	Bacteria	1.649839401	Kraken2
GCF_004342175.1	Bacteria	3.935233116	Kraken2
GCF_000513115.1	Bacteria	4.390642166	Kraken2
GCF_000513095.1	Bacteria	4.389052391	Kraken2
GCF_900100275.1	Bacteria	8.377343178	Kraken2
GCF_001314305.1	Bacteria	3.996004105	Kraken2
GCF_001556105.1	Bacteria	3.817855835	Kraken2
GCF_001543245.1	Bacteria	1.768463135	Kraken2
GCF_000379685.1	Bacteria	7.428833008	Kraken2
GCF_000744755.1	Bacteria	3.618067741	Kraken2
GCF_002217665.1	Bacteria	3.243130684	Kraken2
GCF_002245495.1	Bacteria	3.68655014	Kraken2
GCF_001641345.1	Bacteria	5.824090004	Kraken2
GCF_007858185.1	Bacteria	6.803760529	Kraken2
GCF_000173555.1	Bacteria	5.806941032	Kraken2
GCF_000400635.2	Bacteria	8.673223495	Kraken2
GCF_000383775.1	Bacteria	3.569489479	Kraken2
GCF_000012865.1	Bacteria	2.318964005	Kraken2
GCF_002874535.1	Bacteria	4.541788101	Kraken2
GCF_000245555.1	Bacteria	6.175292015	Kraken2
GCF_007830175.1	Bacteria	3.705260277	Kraken2
GCF_002155995.1	Bacteria	8.846340179	Kraken2
GCF_000372085.1	Bacteria	1.893949509	Kraken2
GCF_003860075.1	Bacteria	3.00376606	Kraken2
GCF_900106055.1	Bacteria	2.346758842	Kraken2
GCF_000296505.1	Bacteria	1.900505066	Kraken2
GCF_900105865.1	Bacteria	1.929672241	Kraken2
GCF_000381085.1	Bacteria	2.465665817	Kraken2
GCF_000017305.1	Bacteria	4.786360741	Kraken2
GCF_001553625.1	Bacteria	2.687675476	Kraken2
GCF_000227585.1	Bacteria	1.678710938	Kraken2
GCF_000308855.1	Bacteria	6.567889214	Kraken2
GCF_000498415.1	Bacteria	6.180001259	Kraken2
GCF_000014565.1	Bacteria	9.369170189	Kraken2
GCF_000299435.1	Bacteria	2.719042778	Kraken2
GCF_008086615.1	Bacteria	3.448095322	Kraken2
GCF_000971055.1	Bacteria	4.485268593	Kraken2
GCF_003688665.1	Bacteria	1.55053997	Kraken2
GCF_000155975.1	Bacteria	4.977639198	Kraken2
GCF_000281175.1	Bacteria	4.967940331	Kraken2
GCF_000024725.1	Bacteria	4.002773285	Kraken2
GCF_000427445.1	Bacteria	3.962444305	Kraken2
GCF_900111165.1	Bacteria	3.142285347	Kraken2
GCF_900107265.1	Bacteria	3.134487152	Kraken2
GCF_000511355.1	Bacteria	4.491281509	Kraken2
GCF_000143845.1	Bacteria	1.981351852	Kraken2
GCF_000758965.1	Bacteria	2.945587158	Kraken2
GCF_000287355.1	Bacteria	1.083080292	Kraken2
GCF_000248155.1	Bacteria	2.805520058	Kraken2
GCF_000413855.1	Bacteria	4.16442585	Kraken2
GCF_000383275.1	Bacteria	7.131518364	Kraken2
GCF_000685055.1	Bacteria	8.407484055	Kraken2
GCF_001187505.1	Bacteria	6.861516953	Kraken2
GCF_001546395.1	Bacteria	1.743029594	Kraken2
GCF_000237145.1	Bacteria	8.922010422	Kraken2
GCF_000006625.1	Bacteria	0.725928307	Kraken2
GCF_900143005.1	Bacteria	9.254378319	Kraken2
GCF_900188105.1	Bacteria	8.48859024	Kraken2
GCF_001612635.1	Bacteria	7.54938221	Kraken2
GCF_002846365.1	Bacteria	7.780853271	Kraken2
GCF_000160695.1	Bacteria	2.092299461	Kraken2
GCF_000234095.1	Bacteria	2.333200455	Kraken2
GCF_000160555.1	Bacteria	1.98601532	Kraken2
GCF_000378385.1	Bacteria	7.211044312	Kraken2
GCF_000284035.1	Bacteria	5.981588364	Kraken2
GCF_000733845.1	Bacteria	3.272621155	Kraken2
GCF_000765745.2	Bacteria	2.013376236	Kraken2
GCF_000008465.1	Bacteria	2.741686821	Kraken2
GCF_001591305.1	Bacteria	4.397661209	Kraken2
GCF_003640545.1	Bacteria	0.725058556	Kraken2
GCF_001590825.1	Bacteria	4.949418068	Kraken2
GCF_001981305.1	Bacteria	3.698161125	Kraken2
GCF_000829445.1	Bacteria	3.252232552	Kraken2
GCF_001509495.1	Bacteria	11.04559803	Kraken2
GCF_005402965.1	Bacteria	4.433965683	Kraken2
GCF_002368115.1	Bacteria	4.988327026	Kraken2
GCF_900167405.1	Bacteria	2.144569397	Kraken2
GCF_000025605.1	Bacteria	1.449007034	Kraken2
GCF_000768705.1	Bacteria	3.85503006	Kraken2
GCF_001274915.1	Bacteria	4.063454628	Kraken2
GCF_000238995.1	Bacteria	0.888402939	Kraken2
GCF_000786195.1	Bacteria	3.655601501	Kraken2
GCF_001238475.1	Bacteria	4.947492599	Kraken2
GCF_000526675.1	Bacteria	1.617764473	Kraken2
GCF_900100985.1	Bacteria	3.172716141	Kraken2
GCF_003050965.1	Bacteria	3.344234467	Kraken2
GCF_000092505.1	Bacteria	2.029927254	Kraken2
GCF_001021045.1	Bacteria	2.627677917	Kraken2
GCF_000527095.1	Bacteria	4.234155655	Kraken2
GCF_000379125.1	Bacteria	4.658723831	Kraken2
GCF_000304595.1	Bacteria	5.098439217	Kraken2
GCF_900107455.1	Bacteria	8.774093628	Kraken2
GCF_000504525.1	Bacteria	2.117602348	Kraken2
GCF_004217345.1	Bacteria	4.852912903	Kraken2
GCF_000948985.1	Bacteria	7.471271515	Kraken2
GCF_000193635.1	Bacteria	2.244395256	Kraken2
GCF_002091635.1	Bacteria	5.593567848	Kraken2
GCF_000333555.1	Bacteria	5.675401688	Kraken2
GCF_000333615.1	Bacteria	4.809924126	Kraken2
GCF_000333635.1	Bacteria	4.245726585	Kraken2
GCF_000333595.1	Bacteria	7.06808567	Kraken2
GCF_000301055.1	Bacteria	1.706385612	Kraken2
GCF_000162475.2	Bacteria	1.68347168	Kraken2
GCF_900111135.1	Bacteria	2.071124077	Kraken2
GCF_000333575.1	Bacteria	6.178202629	Kraken2
GCF_003364265.1	Bacteria	1.911575317	Kraken2
GCF_000259115.1	Bacteria	5.320161819	Kraken2
GCF_001458595.1	Bacteria	4.550269127	Kraken2
GCF_004138295.1	Bacteria	5.273142815	Kraken2
GCF_000021705.1	Bacteria	2.094902039	Kraken2
